question,bert_match_question,bert_sore,mixnet_match_question,mixnet_sore,smallBert_match_question,smallBert_sore,wam_match_question,wam_sore
财务无案件,财务系统无案件,3.4826684,财务系统无案件,0.12579358,财务系统无案件,0.022002233,财务系统无案件,0.19420116
财务无案件,财务系统没有执行案件,3.708792,财务系统无案件信息,0.21572869,已结案件案款支付,0.038050942000000004,财务系统无承办人,0.27686694
匹配案款找不到案件,案款银行流水匹配找不到案件信息,2.899554,财务管理系统中找不到匹配案款的案件,0.26940513,列入失信时提示承办人标识不一致,0.058015406,执恢案件支付案款怎么匹配,0.2402473
匹配案款找不到案件,财务系统报修为什么一直未处理,3.1798716000000002,在财务系统匹配案款时找不到案件,0.29560944,点例如失信时，提示承办人标识不符,0.06469517,匹配案款怎么操作,0.28550590000000003
财务管理系统中找不到匹配案款的案件,财务系统无执行案件信息,5.142726000000001,在财务系统匹配案款时找不到案件,0.21797502,支付案款执行系统已审批完毕财务系统看不到,0.04023855,支付以前年度案款怎么匹配,0.5684206999999999
财务管理系统中找不到匹配案款的案件,无法删除已经匹配案款,5.6477222000000005,匹配案款找不到案件,0.26940513,恢复执行案件需要再次终本，办案标准,0.056032192,案款匹配财务应怎样操作,0.56918395
财务系统无法获取案件信息,财务系统中看不到案件信息,1.6824086,财务系统无法获取案件谢谢,0.15628043,财务系统看不到审批信息,0.03338925,财务系统无法获取案件谢谢,0.28348779999999996
财务系统无法获取案件信息,财务系统不显示支款审批信息,2.2158375,执行案件在财务系统获取不案件信息,0.17934635,哪些银行还不能实现扣划功能,0.037103727,财务系统无法变更承办人,0.48078433
执行案件未推送到财务系统怎么处理,执行系统申请案款发放后未流转到财务系统,5.137555,案款发放执行系统未推送财务系统,0.20541477,执恢案件报结时，提示‘请填写关联执行案件相关信息’,0.054774623,执行系统案款支付没有推送到财务系统怎么办,0.17508733
执行案件未推送到财务系统怎么处理,总对总系统授权怎么操作,5.184322,执行系统案款支付没有推送到财务系统怎么办,0.25407547,临时解禁怎么办；失信和限高单次解除的条件,0.060079753,执行系统案款支付未推送到财务系统,0.179066
财务系统无案件信息,财务系统无执行案件信息,3.4005902000000003,财务系统无案件,0.11911301,财务系统无立案信息,0.011579256000000001,财务系统无案件,0.13176991
财务系统无案件信息,执行案件在财务系统获取不案件信息,3.7747083,财务系统无执行案件信息,0.18184823,财务系统怎么授权审批人,0.033493217,财务系统无承办人,0.1474051
财务系统无案件,财务无案件,3.4826684,财务系统无案件信息,0.11911301,财务无案件,0.022002233,财务系统无承办人,0.061328508
财务系统无案件,财务系统没有执行案件,4.175991000000001,财务无案件,0.12579358,案款走完程序还待办状态,0.029219197000000002,财务系统无案件信息,0.13176991
财务看不到信息,财务系统无法获取案件信息,3.1797462000000003,财务系统看不到审批信息,0.383668,查控系统进不去,0.06291104,财务系统看不到审批信息,0.47532254
财务看不到信息,不能提交评估,3.3810837,财务系统中看不到案件信息,0.43935690000000005,案款分配怎么处理,0.088477165,财务没有审批信息,0.70340216
财务系统无新立案案件信息,财务系统无执行案件信息,2.788779,财务系统无立案信息,0.1709384,财务已支付，执行系统无法流转,0.016538681,财务系统无立案信息,0.16351789
财务系统无新立案案件信息,财务系统看不到案款,4.355398999999999,财务系统无案件信息,0.4304550999999999,财务系统和执行系统承办人不一致,0.018565138999999998,立案个体户信息怎么验证,0.17186461
案款未推送到财务系统,案款推送不到财务系统,1.3773511999999999,案款推送不到财务系统,0.10674687,法律文书未送后期补送,0.037251726,案款发放申请未推送到财务系统,0.17568004
案款银行流水匹配找不到案件信息,匹配案款找不到案件,2.899554,无银行流水案款怎么匹配,0.22275472,案件在财务系统案款支付管理中不显示申请支付案款金额,0.03523238,哪里进行银行流水匹配审核,0.47700329999999996
案款银行流水匹配找不到案件信息,已支付案款信息财务系统找不到原因,3.2281156,案款银行流水匹配无法找到已缴款项,0.24601004,案款未发放完余款发放提示余额不足,0.04014012,案款银行流水匹配无法找到已缴款项,0.517911
