origin_question,change_question,bert_match_question,bert_sore,bert_value,mixnet_match_question,mixnet_sore,mixnet_value,smallBert_match_question,smallBert_sore,small_Bertvalue,wam_match_question,wam_sore,wam_value
财务无案件,财务无刑事案件,财务系统没有执行案件,4.178539,0,财务无案件,0.48984683,1,浏览器设置,0.045622047,0,财务无案件,0.25826985,1
财务无案件,财务无刑事案件,财务无案件,4.33398,1,财务系统无案件,0.56763875,1,已经注销企业限高,0.047238596,0,财务系统无承办人,0.42409655,0
财务无案件,财务无刑事案件,财务系统看不到案款,4.8104067,1,财务系统无案件信息,0.6302188,1,执行指挥中心实体化,0.05711799,0,财务系统无案件,0.4276397,1
匹配案款找不到案件,匹配案款去找不到案件,怎么取消匹配案款,3.5920238,0,匹配案款找不到案件,0.02232327,1,案件终本后怎么进行网络查控,0.036839902,0,匹配案款找不到案件,0.2582725,1
匹配案款找不到案件,匹配案款去找不到案件,怎样取消已匹配案款,3.7795427,0,财务管理系统中找不到匹配案款的案件,0.29576525,1,匹配案款找不到案件,0.040304907,1,案款需要重新匹配,0.35645586,0
匹配案款找不到案件,匹配案款去找不到案件,申请人申请暂缓领取案款,4.421455,0,在财务系统匹配案款时找不到案件,0.30301875,1,执行系统中，看不见支付附件,0.04216381,0,执恢案件支付案款怎么匹配,0.4654607,0
财务管理系统中找不到匹配案款的案件,财务管理系统中找将近匹配案款的案件,需要把执行系统案款支付重新推送到财务系统,9.527992,0,财务管理系统中找不到匹配案款的案件,0.21759382,1,支付案款执行系统已审批完毕财务系统看不到,0.031260617,0,财务管理系统中找不到匹配案款的案件,0.2573703,1
财务管理系统中找不到匹配案款的案件,财务管理系统中找将近匹配案款的案件,财务系统怎么退回已经审批的案款审批信息,10.654551,0,财务系统怎么匹配案款,0.3635536,0,系统提示根据案号代码未查到案件下的被执行人信息,0.03382988,0,案款匹配财务应怎样操作,0.6527316,0
财务管理系统中找不到匹配案款的案件,财务管理系统中找将近匹配案款的案件,删除更改执行系统节点数据,11.169739,0,在财务系统匹配案款时找不到案件,0.43219823,1,如何避免执行办案系统案款数据同步到财务系统时少数据,0.036049295,0,案款匹配财务应怎样操作,0.6527316,0
财务系统无法获取案件信息,财务系统无法获取刑事案件信息,财务系统无法获取案件信息,1.3308405,1,财务系统无法获取案件信息,0.2614644,1,执行系统过程卷中无法看到word文档,0.018993746,0,财务系统无法获取案件信息,0.3177238,1
财务系统无法获取案件信息,财务系统无法获取刑事案件信息,财务系统不显示支款审批信息,2.2348847,0,执行案件在财务系统获取不案件信息,0.45945248,1,部分当事人履行需要终本结案,0.0308358,0,财务系统无法变更承办人,0.55630696,0
