question,bert_match_question,bert_sore,bert_value,mixnet_match_question,mixnet_sore,mixnet_value,smallBert_match_question,smallBert_sore,small_Bert_value,wam_match_question,wam_sore,wam_value
财务无案件,财务系统无案件,3.4826684,1,财务系统无案件,0.12579358,1,财务系统无案件,0.022002233,1,财务系统无案件,0.19420116,1
财务无案件,财务系统没有执行案件,3.708792,0,财务系统无案件信息,0.21572869,1,已结案件案款支付,0.038050942,0,财务系统无承办人,0.27686694,0
匹配案款找不到案件,案款银行流水匹配找不到案件信息,2.899554,1,财务管理系统中找不到匹配案款的案件,0.26940513,1,列入失信时提示承办人标识不一致,0.058015406,0,执恢案件支付案款怎么匹配,0.2402473,0
匹配案款找不到案件,财务系统报修为什么一直未处理,3.1798716,0,在财务系统匹配案款时找不到案件,0.29560944,1,点例如失信时，提示承办人标识不符,0.06469517,0,匹配案款怎么操作,0.2855059,0
财务管理系统中找不到匹配案款的案件,财务系统无执行案件信息,5.142726,1,在财务系统匹配案款时找不到案件,0.21797502,1,支付案款执行系统已审批完毕财务系统看不到,0.04023855,0,支付以前年度案款怎么匹配,0.5684207,0
财务管理系统中找不到匹配案款的案件,无法删除已经匹配案款,5.6477222,0,匹配案款找不到案件,0.26940513,1,恢复执行案件需要再次终本，办案标准,0.056032192,0,案款匹配财务应怎样操作,0.56918395,0
财务系统无法获取案件信息,财务系统中看不到案件信息,1.6824086,1,财务系统无法获取案件谢谢,0.15628043,1,财务系统看不到审批信息,0.03338925,0,财务系统无法获取案件谢谢,0.2834878,1
财务系统无法获取案件信息,财务系统不显示支款审批信息,2.2158375,0,执行案件在财务系统获取不案件信息,0.17934635,1,哪些银行还不能实现扣划功能,0.037103727,0,财务系统无法变更承办人,0.48078433,0
执行案件未推送到财务系统怎么处理,执行系统申请案款发放后未流转到财务系统,5.137555,0,案款发放执行系统未推送财务系统,0.20541477,0,执恢案件报结时，提示‘请填写关联执行案件相关信息’,0.054774623,0,执行系统案款支付没有推送到财务系统怎么办,0.17508733,0
执行案件未推送到财务系统怎么处理,总对总系统授权怎么操作,5.184322,0,执行系统案款支付没有推送到财务系统怎么办,0.25407547,0,临时解禁怎么办；失信和限高单次解除的条件,0.060079753,0,执行系统案款支付未推送到财务系统,0.179066,0
财务系统无案件信息,财务系统无执行案件信息,3.4005902,1,财务系统无案件,0.11911301,1,财务系统无立案信息,0.011579256,1,财务系统无案件,0.13176991,1
财务系统无案件信息,执行案件在财务系统获取不案件信息,3.7747083,1,财务系统无执行案件信息,0.18184823,1,财务系统怎么授权审批人,0.033493217,0,财务系统无承办人,0.1474051,0
财务系统无案件,财务无案件,3.4826684,1,财务系统无案件信息,0.11911301,1,财务无案件,0.022002233,1,财务系统无承办人,0.061328508,0
财务系统无案件,财务系统没有执行案件,4.175991,0,财务无案件,0.12579358,1,案款走完程序还待办状态,0.029219197,0,财务系统无案件信息,0.13176991,1
财务看不到信息,财务系统无法获取案件信息,3.1797462,1,财务系统看不到审批信息,0.383668,0,查控系统进不去,0.06291104,0,财务系统看不到审批信息,0.47532254,0
财务看不到信息,不能提交评估,3.3810837,0,财务系统中看不到案件信息,0.4393569,1,案款分配怎么处理,0.088477165,0,财务没有审批信息,0.70340216,0
财务系统无新立案案件信息,财务系统无执行案件信息,2.788779,1,财务系统无立案信息,0.1709384,1,财务已支付，执行系统无法流转,0.016538681,0,财务系统无立案信息,0.16351789,1
财务系统无新立案案件信息,财务系统看不到案款,4.355399,1,财务系统无案件信息,0.4304551,1,财务系统和执行系统承办人不一致,0.018565139,0,立案个体户信息怎么验证,0.17186461,0
