origin_question,change_question,bert_match_question,bert_sore,mixnet_match_question,mixnet_sore,smallBert_match_question,smallBert_sore,wam_match_question,wam_sore
财务无案件,财务无刑事案件,财务系统没有执行案件,4.178539,财务无案件,0.48984683,浏览器设置,0.045622047,财务无案件,0.25826985
财务无案件,财务无刑事案件,财务无案件,4.33398,财务系统无案件,0.56763875,已经注销企业限高,0.047238596,财务系统无承办人,0.42409655
财务无案件,财务无刑事案件,财务系统看不到案款,4.8104067,财务系统无案件信息,0.6302188,执行指挥中心实体化,0.05711799,财务系统无案件,0.4276397
匹配案款找不到案件,匹配案款去找不到案件,怎么取消匹配案款,3.5920238,匹配案款找不到案件,0.02232327,案件终本后怎么进行网络查控,0.036839902,匹配案款找不到案件,0.2582725
匹配案款找不到案件,匹配案款去找不到案件,怎样取消已匹配案款,3.7795427,财务管理系统中找不到匹配案款的案件,0.29576525,匹配案款找不到案件,0.040304907,案款需要重新匹配,0.35645586
匹配案款找不到案件,匹配案款去找不到案件,申请人申请暂缓领取案款,4.421455,在财务系统匹配案款时找不到案件,0.30301875,执行系统中，看不见支付附件,0.04216381,执恢案件支付案款怎么匹配,0.4654607
财务管理系统中找不到匹配案款的案件,财务管理系统中找将近匹配案款的案件,需要把执行系统案款支付重新推送到财务系统,9.527992,财务管理系统中找不到匹配案款的案件,0.21759382,支付案款执行系统已审批完毕财务系统看不到,0.031260617,财务管理系统中找不到匹配案款的案件,0.2573703
财务管理系统中找不到匹配案款的案件,财务管理系统中找将近匹配案款的案件,财务系统怎么退回已经审批的案款审批信息,10.654551,财务系统怎么匹配案款,0.3635536,系统提示根据案号代码未查到案件下的被执行人信息,0.03382988,案款匹配财务应怎样操作,0.6527316
财务管理系统中找不到匹配案款的案件,财务管理系统中找将近匹配案款的案件,删除更改执行系统节点数据,11.169739,在财务系统匹配案款时找不到案件,0.43219823,如何避免执行办案系统案款数据同步到财务系统时少数据,0.036049295,案款匹配财务应怎样操作,0.6527316
财务系统无法获取案件信息,财务系统无法获取刑事案件信息,财务系统无法获取案件信息,1.3308405,财务系统无法获取案件信息,0.2614644,执行系统过程卷中无法看到word文档,0.018993746,财务系统无法获取案件信息,0.3177238
财务系统无法获取案件信息,财务系统无法获取刑事案件信息,财务系统不显示支款审批信息,2.2348847,执行案件在财务系统获取不案件信息,0.45945248,部分当事人履行需要终本结案,0.0308358,财务系统无法变更承办人,0.55630696
财务系统无法获取案件信息,财务系统无法获取刑事案件信息,无法提交询价评估,2.3884768,财务系统无法获取案件谢谢,0.46123168,房产进行询价评估时的信息录入问题,0.033135675,财务系统无法获取案件谢谢,0.58017194
执行案件未推送到财务系统怎么处理,执行案件并未推送到财务系统怎么处理,执行案件未推送到财务系统怎么处理,1.5496892,执行案件未推送到财务系统怎么处理,0.036174554,执行案件未推送到财务系统怎么处理,0.020100575,执行案件未推送到财务系统怎么处理,0.19762129
执行案件未推送到财务系统怎么处理,执行案件并未推送到财务系统怎么处理,执行系统到账登记无数据,6.307015,案款发放执行系统未推送财务系统,0.22807698,财务系统怎么将一笔钱分割多个案件,0.041958813,执行系统案款支付没有推送到财务系统怎么办,0.2749501
执行案件未推送到财务系统怎么处理,执行案件并未推送到财务系统怎么处理,办案系统推送案款支付信息财务系统看不到,6.502922,财务系统案款已确认但执行系统没有推送出来信息怎么办,0.29185435,执行费显示待办，无法执行结案,0.05306552,执行系统案款支付没有推送到财务系统,0.3183652
财务系统无案件信息,财务系统无刑事案件信息,财务系统无执行案件信息,3.2396016,财务系统无案件信息,0.3447297,财务系统谁有案款分配权,0.023313744,财务系统无案件信息,0.20224696
财务系统无案件信息,财务系统无刑事案件信息,财务系统无案件信息,3.4432669,财务系统无案件,0.49690273,执保划拨提示查无数据,0.028399086,财务系统无承办人,0.26451436
财务系统无案件信息,财务系统无刑事案件信息,财务系统里没有案件,3.9414403,财务系统无执行案件信息,0.5153602,恢复案件可否立即终本,0.032379083,财务系统无案件,0.3182325
财务系统无案件,财政系统无案件,财务系统无案件,2.5025249,财务系统无案件,0.3076545,财务系统无案件信息,0.02271582,财务系统无案件,0.19743459
财务系统无案件,财政系统无案件,财务系统无审批流程,4.4067054,财务系统无案件信息,0.4235336,财务系统无案件,0.025165565,财务系统无流水,0.21453103
财务系统无案件,财政系统无案件,提示未做总对总查控,4.4137073,财务系统里没有案件,0.43292063,财务系统怎么授权审批人,0.02660195,财务系统无承办人,0.23517773
财务看不到信息,财政看不到信息,支付宝不能划扣,2.8782284,财务看不到信息,0.26060322,财务看不到信息,0.014455563,财务看不到信息,0.5984956
财务看不到信息,财政看不到信息,无法核查当事人身份信息,3.0150769,财务系统看不到审批信息,0.49144518,查控系统进不去,0.06531908,已收到案款信息功能找不到,0.8905928
财务看不到信息,财政看不到信息,到账登记未显示金额,3.0540023,财务没有审批信息,0.6875921,到账登记无信息,0.06710818,案款发放上交财政怎么处理,0.90234053
财务系统无新立案案件信息,财务该系统无新立案案件信息,财务系统无执行案件信息,3.3569205,财务系统无新立案案件信息,0.006510272,只限制高消费能否终本结案,0.017804269,财务系统无新立案案件信息,0.02856282
财务系统无新立案案件信息,财务该系统无新立案案件信息,财务系统无新立案案件信息,3.7013,财务系统无立案信息,0.18555528,罚金案子在支付案款通知书上打出来显示收取执行费,0.019181581,财务系统无立案信息,0.18554883
财务系统无新立案案件信息,财务该系统无新立案案件信息,财务系统无案件信息,3.8836176,财务系统无案件信息,0.43890962,案件进行划拨后解冻提示金额不符,0.02036622,立案个体户信息怎么验证,0.18630008
案款未推送到财务系统,案款未启动时到财务系统,清除案款数据,4.206098,执行系统案款支付未推送到财务系统,0.43964186,罚金刑案件否需要终本约谈,0.020049663,案款未推送到财务系统,0.30456108
案款未推送到财务系统,案款未启动时到财务系统,在办案系统删案款支付信息后重填,4.5905576,案款未推送到财务系统,0.4549111,房产进行询价评估时的信息录入问题,0.025964545,案款未推送到财务系统,0.30456108
案款未推送到财务系统,案款未启动时到财务系统,财务系统诉讼费采用调账支付怎么确认支付,4.619339,案款未推送到财务系统,0.4549111,收案登记时案件类型不出现,0.03144397,案款发放申请未推送到财务系统,0.41078818
案款银行流水匹配找不到案件信息,案款银行流水匹配去找不到案件信息,案款认领功能找不到,3.2546484,案款银行流水匹配找不到案件信息,0.0068755057,案款银行流水匹配找不到案件信息,0.01971538,案款银行流水匹配找不到案件信息,0.119633354
案款银行流水匹配找不到案件信息,案款银行流水匹配去找不到案件信息,案款拆分,3.2725224,无银行流水案款怎么匹配,0.24452657,案款未发放完余款发放提示余额不足,0.044537276,哪里进行银行流水匹配审核,0.55640066
案款银行流水匹配找不到案件信息,案款银行流水匹配去找不到案件信息,案款系统没有案件信息,3.3323834,案款银行流水匹配无法找到已缴款项,0.2494526,案款未发放完余款发放提示余额不足,0.044537276,案款银行流水匹配无法找到已缴款项,0.6013513
执行案件在财务系统获取不案件信息,执行案件在财务该系统获取不案件信息,执行案件在财务系统获取不案件信息,0.8915387,执行案件在财务系统获取不案件信息,0.003974847,罚金案子在支付案款通知书上打出来显示收取执行费,0.018837838,执行案件在财务系统获取不案件信息,0.13530192
执行案件在财务系统获取不案件信息,执行案件在财务该系统获取不案件信息,恢复案件发放首执案件案款,4.6671286,财务系统无法获取案件信息,0.1795413,执行系统提起案款发放财务系统看不到案款支付,0.022822341,如何在财务系统修改承办人信息,0.5113639
执行案件在财务系统获取不案件信息,执行案件在财务该系统获取不案件信息,财务系统无案件信息,4.711638,执行系统有案件信息财务系统无案件信息不能进行案款匹配,0.2055916,列入失信时提示承办人标识不一致,0.023495184,财务系统承办人信息与执行系统不一致,0.5781018
财务系统无立案信息,财政系统无立案信息,财务系统无立案信息,1.4513406,财务系统无立案信息,0.17716168,财务系统无立案信息,0.023286045,财务系统无立案信息,0.04910724
